Aesthetic Appreciation and Spanish Art:	['1', '0', '2', '1', '-3', '-4']	['amod', 'root', 'cc', 'amod', 'conj', 'punct']
Insights from Eye-Tracking	['0', '1', '-2']	['root', 'case', 'nmod']
Claire Bailey-Ross claire.bailey-ross@port.ac.uk University of Portsmouth, United Kingdom	['0', '-1', '-2', '-3', '1', '-2', '2', '1', '-8']	['root', 'flat', 'list', 'list', 'case', 'nmod', 'punct', 'amod', 'list']
Andrew Beresford a.m.beresford@durham.ac.uk Durham University, United Kingdom	['0', '-1', '-2', '1', '-4', '2', '1', '-7']	['root', 'flat', 'list', 'compound', 'list', 'punct', 'amod', 'list']
Daniel Smith daniel.smith2@durham.ac.uk Durham University, United Kingdom	['0', '-1', '-2', '1', '-4', '2', '1', '-7']	['root', 'flat', 'list', 'compound', 'list', 'punct', 'amod', 'list']
Claire Warwick c.l.h.warwick@durham.ac.uk Durham University, United Kingdom	['0', '-1', '-2', '1', '-4', '2', '1', '-7']	['root', 'flat', 'list', 'compound', 'list', 'punct', 'amod', 'list']
How do people look at and experience art?	['3', '2', '1', '0', '3', '1', '-3', '-4', '-5']	['advmod', 'aux', 'nsubj', 'root', 'case', 'cc', 'conj', 'obl', 'punct']
Which elements of specific artworks do they focus on?	['1', '6', '2', '1', '-3', '2', '1', '0', '-7', '-2']	['det', 'obl', 'case', 'amod', 'nmod', 'aux', 'nsubj', 'root', 'case', 'punct']
Do museum labels have an impact on how people look at artworks?	['3', '1', '1', '0', '1', '-2', '1', '-2', '1', '-2', '1', '-2', '-9']	['aux', 'compound', 'nsubj', 'root', 'det', 'obj', 'case', 'nmod', 'nsubj', 'acl:relcl', 'case', 'obl', 'punct']
The viewing experience of art is a complex one, involving issues of perception, attention, memory, decision-making, affect, and emotion.	['2', '1', '6', '1', '-2', '3', '2', '1', '0', '1', '-2', '-1', '1', '-2', '1', '-2', '1', '-4', '1', '-6', '1', '-8', '2', '1', '-11', '-17']	['det', 'compound', 'nsubj', 'case', 'nmod', 'cop', 'det', 'amod', 'root', 'punct', 'acl', 'obj', 'case', 'nmod', 'punct', 'conj', 'punct', 'conj', 'punct', 'conj', 'punct', 'conj', 'punct', 'cc', 'conj', 'punct']
